start	end	text
0	5240	Okay, for the transaction is not a big deal, but yeah, you can keep them like, okay,
5240	9080	total transaction of the month and total transaction of the day.
9080	16560	At the same time, please check the dashboard and see if everything is like in line with the updated
16560	17560	informations.
17560	25800	For example, the net revenue between the gross revenue and expenses, you did an updated.
25800	31520	So every time we push updates to the dashboard, you check the entire dashboard and
31520	37280	you see if the information in the dashboard are the current one that we find out with
37280	41160	the new adjustments and with the new things that we decide.
41160	46640	So don't wait for me to tell you, please, can you update this in the dashboard is still
46640	51640	the same like before or can you please update that in the dashboard is like same like before.
51640	59560	No, you voluntarily check every time the dashboard is everything in the dashboard is updated.
